Location,Filename,Year,Month,Day,Hour,AQI,PM2.5,PM10,O3,CO,SO2,NO2,AQI_Class
Tamil Nadu,TN_UnFSG_2023-03-02-08.30-1.jpg,2023,3,2,8:30,119,69.0,106.0,8.0,358.0,22.0,26.0,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_Mod_2023-02-24-08.30-1-166.jpg,2023,2,24,8:30,68,32.0,61.0,26.0,228.0,5.0,21.0,b_Moderate
"Biratnagar, Nepal",BIR_UNFSG_VF_2023-02-03-15.00-2-24.jpg,2023,2,3,15:00,141,47.96,68.92,65.57,0.41,2.8,2.51,c_Unhealthy_for_Sensitive_Groups
Mumbai,MH_UnFSG_2023-03-10-16.00-1-76.jpg,2023,3,10,16:00,141,72.0,108.0,,,,63.0,c_Unhealthy_for_Sensitive_Groups
"ITO, Delhi",DEL_SEV_2023-02-07-14.00-2-8.jpg,2023,2,7,14:00,449,337.0,198.0,23.0,24.0,13.0,57.0,f_Severe
Bengaluru,BENGR_Good_2023-02-26-08.30-1-236.jpg,2023,2,26,8:30,48,24.0,47.0,17.0,210.0,13.0,14.0,a_Good
"Biratnagar, Nepal",BIR_UNFSG_VF_2023-02-03-15.00-2-48.jpg,2023,2,3,15:00,141,47.96,68.92,65.57,0.41,2.8,2.51,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_Mod_2023-02-21-08.30-1-526.jpg,2023,2,21,8:30,56,27.0,53.0,27.0,265.0,19.0,16.0,b_Moderate
Mumbai,MH_UnFSG_2023-02-17-19.00-2-37.jpg,2023,2,17,19:00,145,86.0,122.0,82.0,0.0,,,c_Unhealthy_for_Sensitive_Groups
Mumbai,MH_UH_2023-02-11-03.30-2-49.jpg,2023,2,11,15:30,154,66.2,93.75,91.0,20.0,,98.0,d_Unhealthy
"ITO, Delhi",DEL_VUnH_2023-02-16-14.00-1-25.jpg,2023,2,16,14:00,268,401.0,325.0,73.0,88.0,16.0,,e_Very_Unhealthy
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 1700-3-58.jpg,2023,2,2,17:00,156,67.06,95.93,52.38,0.52,3.35,6.49,d_Unhealthy
"Biratnagar, Nepal",BIR_MOD_2023-02-13-09.30-2.jpg,2023,2,13,9:30,91,30.27,44.12,42.15,0.3,4.1,2.57,b_Moderate
Tamil Nadu,TN_UNH_2023-02-03-13.30-1-21.jpg,2023,2,3,13:30,167,104.0,188.0,37.0,1.0,8.0,6.0,d_Unhealthy
"Biratnagar, Nepal",BRI_UFSG_2023-02-03- 16.00-5.jpg,2023,2,3,16:00,141,50.29,72.18,59.66,0.45,2.6,4.19,c_Unhealthy_for_Sensitive_Groups
"ITO, Delhi",DEL_SEV_2023-02-16-18.00-2-19.jpg,2023,2,16,18:00,330,418.0,357.0,12.0,106.0,7.0,119.0,f_Severe
"ITO, Delhi",DEL_VUH_2023-02-04-17.00-2-152.jpg,2023,2,4,17:00,281,174.0,132.0,97.0,24.0,19.0,71.0,e_Very_Unhealthy
"ITO, Delhi",DEL_SEV_2023-02-07-14.00-4.jpg,2023,2,7,14:00,449,337.0,198.0,23.0,24.0,13.0,57.0,f_Severe
"ITO, Delhi",DEL_SEV_2023-02-22-14.00-2-296.jpg,2023,2,22,14:00,450,500.0,480.0,91.0,78.0,17.0,47.0,f_Severe
Tamil Nadu,TN_UnFSG_2023-03-09-09.00-1-6.jpg,2023,3,9,9:00,134,84.0,121.0,7.0,235.0,21.0,29.0,c_Unhealthy_for_Sensitive_Groups
"Dimapur, Nagaland",Dimapur_UHFSG_2023-02-02- 09.00-3-34.jpg,2023,2,2,9:00,103,53.0,84.0,13.0,2.0,3.0,5.0,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,TN_Good_2023-02-22-09.30-1-221.jpg,2023,2,22,9:30,36,18.0,28.0,8.0,346.0,27.0,7.0,a_Good
Bengaluru,BENGR_Good_2023-02-28-08.30-1-131.jpg,2023,2,28,8:30,37,19.0,37.0,18.0,272.0,11.0,21.0,a_Good
"Biratnagar, Nepal",BRI_UFSG_2023-02-03- 16.00-4.jpg,2023,2,3,16:00,141,50.29,72.18,59.66,0.45,2.6,4.19,c_Unhealthy_for_Sensitive_Groups
"Biratnagar, Nepal",BIR_UNFSG_VF_2023-02-03-16.00-1-45.jpg,2023,2,3,16:00,141,50.29,72.18,59.66,0.45,2.6,4.19,c_Unhealthy_for_Sensitive_Groups
"Knowledge park, Greater Noida",UP_VUN_2023-03-02-09.00-1-677.jpg,2023,3,2,9:00,223,301.0,232.0,7.0,174.0,22.0,82.0,e_Very_Unhealthy
Bengaluru,BENGR_Good_2023-02-28-08.30-1-156.jpg,2023,2,28,8:30,37,19.0,37.0,18.0,272.0,11.0,21.0,a_Good
"Knowledge park, Greater Noida",UP_UHFSG_2023-03-06-11.30-1-229.jpg,2023,3,6,11:30,104,100.0,185.0,8.0,28.0,30.0,44.0,c_Unhealthy_for_Sensitive_Groups
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 12.00-1-5.jpg,2023,2,2,12:00,158,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy
Bengaluru,BENGR_Good_2023-02-27-08.30-1-471.jpg,2023,2,27,8:30,47,24.0,46.0,19.0,216.0,8.0,14.0,a_Good
Tamil Nadu,TN_Mod_2023-02-28-08.30-1-136.jpg,2023,2,28,8:30,73,37.0,53.0,13.0,345.0,17.0,11.0,b_Moderate
Mumbai,MH_UN_2023-03-16-11.00-1-78.jpg,2023,3,16,11:00,159,231.0,147.0,44.0,30.0,10.0,33.0,d_Unhealthy
"Biratnagar, Nepal",BRI_Un_2023-02-09-08.00-6.jpg,2023,2,9,8:00,171,112.46,163.45,31.17,0.96,3.84,18.78,d_Unhealthy
"Biratnagar, Nepal",BIR_UFSG_2023-02-14- 14.30-3-45.jpg,2023,2,14,14:30,101,33.18,48.66,68.31,0.25,3.25,0.67,c_Unhealthy_for_Sensitive_Groups
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 15.00-2-87.jpg,2023,2,2,15:00,156,63.33,90.8,63.2,0.46,4.05,2.98,d_Unhealthy
"ITO, Delhi",DEL_VUnH_2023-02-16-17.00-2-111.jpg,2023,2,16,17:00,293,370.0,407.0,77.0,112.0,9.0,109.0,e_Very_Unhealthy
"Knowledge park, Greater Noida",UP_UHFSG_2023-02-24-08.30-1-289.jpg,2023,2,24,8:30,141,268.0,180.0,2.0,114.0,10.0,56.0,c_Unhealthy_for_Sensitive_Groups
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 12.00-1-127.jpg,2023,2,2,12:00,158,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy
"ITO, Delhi",DEL_SEV_2023-02-20-14.00-3-316.jpg,2023,2,20,14:00,363,257.0,139.0,41.0,65.0,35.0,83.0,f_Severe
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-3145.jpg,2022,10,2,10:00,230,185.0,199.0,10.0,52.0,12.0,26.0,e_Very_Unhealthy
