Location,Day,Hour,AQI,PM2.5,PM10,O3,CO,SO2,NO2,AQI_Class
0,26,18,48,24.0,47.0,17.0,210.0,13.0,14.0,a_Good
7,22,20,36,18.0,28.0,8.0,346.0,27.0,7.0,a_Good
0,28,18,37,19.0,37.0,18.0,272.0,11.0,21.0,a_Good
0,28,18,37,19.0,37.0,18.0,272.0,11.0,21.0,a_Good
0,27,18,47,24.0,46.0,19.0,216.0,8.0,14.0,a_Good
0,28,18,37,19.0,37.0,18.0,272.0,11.0,21.0,a_Good
0,25,18,32,13.0,32.0,31.0,219.0,10.0,20.0,a_Good
5,22,15,47,21.0,43.0,37.0,4.0,8.0,7.0,a_Good
7,20,13,43,22.0,40.0,33.0,226.0,33.0,6.0,a_Good
5,23,14,47,14.0,41.0,35.0,6.0,5.0,7.0,a_Good
7,21,18,29,29.0,21.0,5.0,301.0,30.0,7.0,a_Good
7,20,13,43,22.0,40.0,33.0,226.0,33.0,6.0,a_Good
5,22,15,47,21.0,43.0,37.0,4.0,8.0,7.0,a_Good
0,19,18,41,20.0,36.0,9.0,165.0,3.0,8.0,a_Good
7,21,18,29,29.0,21.0,5.0,301.0,30.0,7.0,a_Good
7,22,20,36,18.0,28.0,8.0,346.0,27.0,7.0,a_Good
0,17,18,15,4.0,7.0,37.0,288.0,10.0,10.0,a_Good
0,25,18,32,13.0,32.0,31.0,219.0,10.0,20.0,a_Good
7,21,18,29,29.0,21.0,5.0,301.0,30.0,7.0,a_Good
7,21,18,29,29.0,21.0,5.0,301.0,30.0,7.0,a_Good
7,20,18,37,37.0,28.0,22.0,1.0,22.0,5.0,a_Good
7,21,18,27,13.0,27.0,24.0,300.0,35.0,8.0,a_Good
7,21,18,27,13.0,27.0,24.0,300.0,35.0,8.0,a_Good
7,20,13,43,22.0,40.0,33.0,226.0,33.0,6.0,a_Good
7,21,18,29,29.0,21.0,5.0,301.0,30.0,7.0,a_Good
7,22,20,36,18.0,28.0,8.0,346.0,27.0,7.0,a_Good
0,27,18,47,24.0,46.0,19.0,216.0,8.0,14.0,a_Good
5,22,2,49,32.0,59.0,46.0,9.0,7.0,17.0,a_Good
7,27,13,43,22.0,40.0,36.0,268.0,16.0,7.0,a_Good
0,21,18,47,22.0,47.0,17.0,271.0,3.0,17.0,a_Good
5,23,14,47,14.0,41.0,35.0,6.0,5.0,7.0,a_Good
